Episode: 267, Steps: 44, Steps_X: 23, Steps_Y: 21, Total Score: 6, Epsilon: 0.2623
Episode: 295, Steps: 44, Steps_X: 23, Steps_Y: 21, Total Score: 6, Epsilon: 0.2279
Episode: 303, Steps: 168, Steps_X: 57, Steps_Y: 111, Total Score: -118, Epsilon: 0.2190
Episode: 316, Steps: 40, Steps_X: 21, Steps_Y: 19, Total Score: 10, Epsilon: 0.2052
Episode: 318, Steps: 64, Steps_X: 21, Steps_Y: 43, Total Score: -14, Epsilon: 0.2031
Episode: 340, Steps: 96, Steps_X: 59, Steps_Y: 37, Total Score: -46, Epsilon: 0.1819
Episode: 349, Steps: 136, Steps_X: 97, Steps_Y: 39, Total Score: -86, Epsilon: 0.1739
Episode: 351, Steps: 202, Steps_X: 81, Steps_Y: 121, Total Score: -152, Epsilon: 0.1721
Episode: 360, Steps: 44, Steps_X: 13, Steps_Y: 31, Total Score: 6, Epsilon: 0.1646
Episode: 364, Steps: 38, Steps_X: 17, Steps_Y: 21, Total Score: 12, Epsilon: 0.1613
Episode: 373, Steps: 104, Steps_X: 51, Steps_Y: 53, Total Score: -54, Epsilon: 0.1542
Episode: 383, Steps: 104, Steps_X: 41, Steps_Y: 63, Total Score: -54, Epsilon: 0.1466
Episode: 386, Steps: 122, Steps_X: 59, Steps_Y: 63, Total Score: -72, Epsilon: 0.1444
Episode: 393, Steps: 56, Steps_X: 31, Steps_Y: 25, Total Score: -6, Epsilon: 0.1395
Episode: 395, Steps: 64, Steps_X: 33, Steps_Y: 31, Total Score: -14, Epsilon: 0.1381
Episode: 396, Steps: 114, Steps_X: 49, Steps_Y: 65, Total Score: -64, Epsilon: 0.1374
Episode: 398, Steps: 80, Steps_X: 37, Steps_Y: 43, Total Score: -30, Epsilon: 0.1360
Episode: 403, Steps: 88, Steps_X: 21, Steps_Y: 67, Total Score: -38, Epsilon: 0.1326
Episode: 410, Steps: 38, Steps_X: 23, Steps_Y: 15, Total Score: 12, Epsilon: 0.1281
Episode: 411, Steps: 60, Steps_X: 39, Steps_Y: 21, Total Score: -10, Epsilon: 0.1274
Episode: 416, Steps: 50, Steps_X: 33, Steps_Y: 17, Total Score: 0, Epsilon: 0.1243
Episode: 419, Steps: 70, Steps_X: 27, Steps_Y: 43, Total Score: -20, Epsilon: 0.1224
Episode: 424, Steps: 36, Steps_X: 17, Steps_Y: 19, Total Score: 14, Epsilon: 0.1194
Episode: 435, Steps: 42, Steps_X: 11, Steps_Y: 31, Total Score: 8, Epsilon: 0.1130
Episode: 437, Steps: 186, Steps_X: 85, Steps_Y: 101, Total Score: -136, Epsilon: 0.1119
