Episode: 191, Steps: 50, Steps_X: 23, Steps_Y: 27, Total Score: 0, Epsilon: 0.3839
Episode: 208, Steps: 44, Steps_X: 23, Steps_Y: 21, Total Score: 6, Epsilon: 0.3525
Episode: 226, Steps: 88, Steps_X: 39, Steps_Y: 49, Total Score: -38, Epsilon: 0.3221
Episode: 228, Steps: 32, Steps_X: 15, Steps_Y: 17, Total Score: 18, Epsilon: 0.3189
Episode: 238, Steps: 18, Steps_X: 9, Steps_Y: 9, Total Score: 32, Epsilon: 0.3033
Episode: 247, Steps: 26, Steps_X: 11, Steps_Y: 15, Total Score: 24, Epsilon: 0.2899
Episode: 251, Steps: 36, Steps_X: 19, Steps_Y: 17, Total Score: 14, Epsilon: 0.2842
Episode: 255, Steps: 40, Steps_X: 25, Steps_Y: 15, Total Score: 10, Epsilon: 0.2785
Episode: 256, Steps: 18, Steps_X: 9, Steps_Y: 9, Total Score: 32, Epsilon: 0.2771
Episode: 259, Steps: 44, Steps_X: 15, Steps_Y: 29, Total Score: 6, Epsilon: 0.2730
Episode: 262, Steps: 24, Steps_X: 11, Steps_Y: 13, Total Score: 26, Epsilon: 0.2689
Episode: 265, Steps: 28, Steps_X: 17, Steps_Y: 11, Total Score: 22, Epsilon: 0.2649
Episode: 267, Steps: 20, Steps_X: 11, Steps_Y: 9, Total Score: 30, Epsilon: 0.2623
Episode: 269, Steps: 22, Steps_X: 11, Steps_Y: 11, Total Score: 28, Epsilon: 0.2597
Episode: 271, Steps: 26, Steps_X: 13, Steps_Y: 13, Total Score: 24, Epsilon: 0.2571
Episode: 272, Steps: 20, Steps_X: 9, Steps_Y: 11, Total Score: 30, Epsilon: 0.2558
Episode: 278, Steps: 50, Steps_X: 33, Steps_Y: 17, Total Score: 0, Epsilon: 0.2482
Episode: 279, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.2470
Episode: 280, Steps: 24, Steps_X: 13, Steps_Y: 11, Total Score: 26, Epsilon: 0.2457
Episode: 284, Steps: 20, Steps_X: 7, Steps_Y: 13, Total Score: 30, Epsilon: 0.2409
Episode: 286, Steps: 20, Steps_X: 9, Steps_Y: 11, Total Score: 30, Epsilon: 0.2385
Episode: 287, Steps: 16, Steps_X: 7, Steps_Y: 9, Total Score: 34, Epsilon: 0.2373
Episode: 290, Steps: 16, Steps_X: 9, Steps_Y: 7, Total Score: 34, Epsilon: 0.2337
Episode: 291, Steps: 24, Steps_X: 11, Steps_Y: 13, Total Score: 26, Epsilon: 0.2326
Episode: 293, Steps: 96, Steps_X: 61, Steps_Y: 35, Total Score: -46, Epsilon: 0.2302
Episode: 296, Steps: 22, Steps_X: 13, Steps_Y: 9, Total Score: 28, Epsilon: 0.2268
Episode: 298, Steps: 14, Steps_X: 7, Steps_Y: 7, Total Score: 36, Epsilon: 0.2245
Episode: 301, Steps: 24, Steps_X: 11, Steps_Y: 13, Total Score: 26, Epsilon: 0.2212
Episode: 303, Steps: 24, Steps_X: 11, Steps_Y: 13, Total Score: 26, Epsilon: 0.2190
Episode: 305, Steps: 16, Steps_X: 9, Steps_Y: 7, Total Score: 34, Epsilon: 0.2168
Episode: 306, Steps: 20, Steps_X: 11, Steps_Y: 9, Total Score: 30, Epsilon: 0.2157
Episode: 309, Steps: 18, Steps_X: 9, Steps_Y: 9, Total Score: 32, Epsilon: 0.2125
Episode: 311, Steps: 16, Steps_X: 9, Steps_Y: 7, Total Score: 34, Epsilon: 0.2104
Episode: 312, Steps: 18, Steps_X: 11, Steps_Y: 7, Total Score: 32, Epsilon: 0.2093
Episode: 315, Steps: 16, Steps_X: 7, Steps_Y: 9, Total Score: 34, Epsilon: 0.2062
Episode: 317, Steps: 18, Steps_X: 9, Steps_Y: 9, Total Score: 32, Epsilon: 0.2041
