Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 1, Global Episode: 2343, Event: hole, Total Score: -87, Covered White Tiles: 2/52, Epsilon: 0.9950
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 2, Global Episode: 2344, Event: hole, Total Score: -93, Covered White Tiles: 1/52, Epsilon: 0.9900
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 3, Global Episode: 2345, Event: hole, Total Score: -79, Covered White Tiles: 4/52, Epsilon: 0.9851
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 4, Global Episode: 2346, Event: hole, Total Score: -37, Covered White Tiles: 10/52, Epsilon: 0.9801
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 5, Global Episode: 2347, Event: hole, Total Score: -93, Covered White Tiles: 8/52, Epsilon: 0.9752
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 6, Global Episode: 2348, Event: hole, Total Score: -72, Covered White Tiles: 8/52, Epsilon: 0.9704
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 7, Global Episode: 2349, Event: hole, Total Score: -45, Covered White Tiles: 9/52, Epsilon: 0.9655
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 8, Global Episode: 2350, Event: hole, Total Score: -100, Covered White Tiles: 3/52, Epsilon: 0.9607
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 9, Global Episode: 2351, Event: hole, Total Score: -94, Covered White Tiles: 8/52, Epsilon: 0.9559
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 10, Global Episode: 2352, Event: hole, Total Score: -249, Covered White Tiles: 9/52, Epsilon: 0.9511
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 11, Global Episode: 2353, Event: hole, Total Score: -86, Covered White Tiles: 2/52, Epsilon: 0.9464
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 12, Global Episode: 2354, Event: hole, Total Score: -79, Covered White Tiles: 3/52, Epsilon: 0.9416
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 13, Global Episode: 2355, Event: hole, Total Score: -65, Covered White Tiles: 5/52, Epsilon: 0.9369
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 14, Global Episode: 2356, Event: hole, Total Score: -72, Covered White Tiles: 7/52, Epsilon: 0.9322
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 15, Global Episode: 2357, Event: hole, Total Score: -72, Covered White Tiles: 4/52, Epsilon: 0.9276
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 16, Global Episode: 2358, Event: hole, Total Score: -58, Covered White Tiles: 7/52, Epsilon: 0.9229
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 17, Global Episode: 2359, Event: hole, Total Score: -65, Covered White Tiles: 6/52, Epsilon: 0.9183
