Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 1, Global Episode: 14849, Event: hole, Total Score: -79, Covered White Tiles: 6/50, Epsilon: 0.9950
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 2, Global Episode: 14850, Event: hole, Total Score: -81, Covered White Tiles: 7/50, Epsilon: 0.9900
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 3, Global Episode: 14851, Event: hole, Total Score: -93, Covered White Tiles: 6/50, Epsilon: 0.9851
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 4, Global Episode: 14852, Event: hole, Total Score: -94, Covered White Tiles: 3/50, Epsilon: 0.9801
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 5, Global Episode: 14853, Event: hole, Total Score: -86, Covered White Tiles: 2/50, Epsilon: 0.9752
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 6, Global Episode: 14854, Event: hole, Total Score: -110, Covered White Tiles: 4/50, Epsilon: 0.9704
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 7, Global Episode: 14855, Event: hole, Total Score: -66, Covered White Tiles: 5/50, Epsilon: 0.9655
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 8, Global Episode: 14856, Event: hole, Total Score: -102, Covered White Tiles: 2/50, Epsilon: 0.9607
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 9, Global Episode: 14857, Event: hole, Total Score: -86, Covered White Tiles: 2/50, Epsilon: 0.9559
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 10, Global Episode: 14858, Event: hole, Total Score: -72, Covered White Tiles: 6/50, Epsilon: 0.9511
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 11, Global Episode: 14859, Event: hole, Total Score: -93, Covered White Tiles: 1/50, Epsilon: 0.9464
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 12, Global Episode: 14860, Event: hole, Total Score: -72, Covered White Tiles: 6/50, Epsilon: 0.9416
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 13, Global Episode: 14861, Event: hole, Total Score: -72, Covered White Tiles: 4/50, Epsilon: 0.9369
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 14, Global Episode: 14862, Event: hole, Total Score: -93, Covered White Tiles: 1/50, Epsilon: 0.9322
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 15, Global Episode: 14863, Event: hole, Total Score: -107, Covered White Tiles: 6/50, Epsilon: 0.9276
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 16, Global Episode: 14864, Event: hole, Total Score: -79, Covered White Tiles: 4/50, Epsilon: 0.9229
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 17, Global Episode: 14865, Event: hole, Total Score: -79, Covered White Tiles: 4/50, Epsilon: 0.9183
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 18, Global Episode: 14866, Event: hole, Total Score: -79, Covered White Tiles: 3/50, Epsilon: 0.9137
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 19, Global Episode: 14867, Event: hole, Total Score: -79, Covered White Tiles: 4/50, Epsilon: 0.9092
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 20, Global Episode: 14868, Event: hole, Total Score: -59, Covered White Tiles: 9/50, Epsilon: 0.9046
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 21, Global Episode: 14869, Event: hole, Total Score: -59, Covered White Tiles: 7/50, Epsilon: 0.9001
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 22, Global Episode: 14870, Event: hole, Total Score: -93, Covered White Tiles: 6/50, Epsilon: 0.8956
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 23, Global Episode: 14871, Event: hole, Total Score: -72, Covered White Tiles: 5/50, Epsilon: 0.8911
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 24, Global Episode: 14872, Event: hole, Total Score: -87, Covered White Tiles: 6/50, Epsilon: 0.8867
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 25, Global Episode: 14873, Event: hole, Total Score: -108, Covered White Tiles: 4/50, Epsilon: 0.8822
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 26, Global Episode: 14874, Event: hole, Total Score: -59, Covered White Tiles: 8/50, Epsilon: 0.8778
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 27, Global Episode: 14875, Event: hole, Total Score: -80, Covered White Tiles: 5/50, Epsilon: 0.8734
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 28, Global Episode: 14876, Event: hole, Total Score: -94, Covered White Tiles: 14/50, Epsilon: 0.8691
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 29, Global Episode: 14877, Event: hole, Total Score: -51, Covered White Tiles: 8/50, Epsilon: 0.8647
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 30, Global Episode: 14878, Event: hole, Total Score: -88, Covered White Tiles: 14/50, Epsilon: 0.8604
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 31, Global Episode: 14879, Event: hole, Total Score: -65, Covered White Tiles: 7/50, Epsilon: 0.8561
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 32, Global Episode: 14880, Event: hole, Total Score: -79, Covered White Tiles: 3/50, Epsilon: 0.8518
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 33, Global Episode: 14881, Event: hole, Total Score: -86, Covered White Tiles: 4/50, Epsilon: 0.8475
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 34, Global Episode: 14882, Event: hole, Total Score: -115, Covered White Tiles: 8/50, Epsilon: 0.8433
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 35, Global Episode: 14883, Event: hole, Total Score: -23, Covered White Tiles: 14/50, Epsilon: 0.8391
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 36, Global Episode: 14884, Event: hole, Total Score: -79, Covered White Tiles: 4/50, Epsilon: 0.8349
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 37, Global Episode: 14885, Event: hole, Total Score: -93, Covered White Tiles: 1/50, Epsilon: 0.8307
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 38, Global Episode: 14886, Event: hole, Total Score: -30, Covered White Tiles: 10/50, Epsilon: 0.8266
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 39, Global Episode: 14887, Event: hole, Total Score: -72, Covered White Tiles: 4/50, Epsilon: 0.8224
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 40, Global Episode: 14888, Event: hole, Total Score: -94, Covered White Tiles: 2/50, Epsilon: 0.8183
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 41, Global Episode: 14889, Event: hole, Total Score: -58, Covered White Tiles: 6/50, Epsilon: 0.8142
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 42, Global Episode: 14890, Event: hole, Total Score: -86, Covered White Tiles: 2/50, Epsilon: 0.8102
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 43, Global Episode: 14891, Event: hole, Total Score: -58, Covered White Tiles: 6/50, Epsilon: 0.8061
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 44, Global Episode: 14892, Event: hole, Total Score: -93, Covered White Tiles: 1/50, Epsilon: 0.8021
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 45, Global Episode: 14893, Event: hole, Total Score: -44, Covered White Tiles: 9/50, Epsilon: 0.7981
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 46, Global Episode: 14894, Event: hole, Total Score: -65, Covered White Tiles: 5/50, Epsilon: 0.7941
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 47, Global Episode: 14895, Event: hole, Total Score: -65, Covered White Tiles: 6/50, Epsilon: 0.7901
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 48, Global Episode: 14896, Event: hole, Total Score: -65, Covered White Tiles: 5/50, Epsilon: 0.7862
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 49, Global Episode: 14897, Event: hole, Total Score: -80, Covered White Tiles: 3/50, Epsilon: 0.7822
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 50, Global Episode: 14898, Event: hole, Total Score: -87, Covered White Tiles: 5/50, Epsilon: 0.7783
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 51, Global Episode: 14899, Event: hole, Total Score: -80, Covered White Tiles: 5/50, Epsilon: 0.7744
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 52, Global Episode: 14900, Event: hole, Total Score: -79, Covered White Tiles: 3/50, Epsilon: 0.7705
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 53, Global Episode: 14901, Event: hole, Total Score: -86, Covered White Tiles: 2/50, Epsilon: 0.7667
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 54, Global Episode: 14902, Event: hole, Total Score: -51, Covered White Tiles: 8/50, Epsilon: 0.7629
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 55, Global Episode: 14903, Event: hole, Total Score: -124, Covered White Tiles: 5/50, Epsilon: 0.7590
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 56, Global Episode: 14904, Event: hole, Total Score: -93, Covered White Tiles: 1/50, Epsilon: 0.7553
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 57, Global Episode: 14905, Event: hole, Total Score: -58, Covered White Tiles: 6/50, Epsilon: 0.7515
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 58, Global Episode: 14906, Event: hole, Total Score: -86, Covered White Tiles: 3/50, Epsilon: 0.7477
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 59, Global Episode: 14907, Event: hole, Total Score: -108, Covered White Tiles: 7/50, Epsilon: 0.7440
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 60, Global Episode: 14908, Event: hole, Total Score: -86, Covered White Tiles: 2/50, Epsilon: 0.7403
Round: 4, Phase: 2/2, Algorithm: q_learning, Episode: 61, Global Episode: 14909, Event: hole, Total Score: -73, Covered White Tiles: 5/50, Epsilon: 0.7366
