Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 1, Global Episode: 4121, Event: hole, Total Score: -100, Covered White Tiles: 0/50, Epsilon: 0.9950
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 2, Global Episode: 4122, Event: hole, Total Score: -72, Covered White Tiles: 4/50, Epsilon: 0.9900
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 3, Global Episode: 4123, Event: hole, Total Score: -86, Covered White Tiles: 2/50, Epsilon: 0.9851
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 4, Global Episode: 4124, Event: hole, Total Score: -65, Covered White Tiles: 5/50, Epsilon: 0.9801
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 5, Global Episode: 4125, Event: hole, Total Score: -86, Covered White Tiles: 2/50, Epsilon: 0.9752
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 6, Global Episode: 4126, Event: hole, Total Score: -94, Covered White Tiles: 3/50, Epsilon: 0.9704
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 7, Global Episode: 4127, Event: hole, Total Score: -87, Covered White Tiles: 2/50, Epsilon: 0.9655
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 8, Global Episode: 4128, Event: hole, Total Score: -88, Covered White Tiles: 2/50, Epsilon: 0.9607
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 9, Global Episode: 4129, Event: hole, Total Score: -100, Covered White Tiles: 2/50, Epsilon: 0.9559
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 10, Global Episode: 4130, Event: hole, Total Score: -93, Covered White Tiles: 1/50, Epsilon: 0.9511
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 11, Global Episode: 4131, Event: hole, Total Score: -100, Covered White Tiles: 0/50, Epsilon: 0.9464
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 12, Global Episode: 4132, Event: hole, Total Score: -100, Covered White Tiles: 0/50, Epsilon: 0.9416
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 13, Global Episode: 4133, Event: hole, Total Score: -86, Covered White Tiles: 2/50, Epsilon: 0.9369
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 14, Global Episode: 4134, Event: hole, Total Score: -94, Covered White Tiles: 1/50, Epsilon: 0.9322
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 15, Global Episode: 4135, Event: hole, Total Score: -101, Covered White Tiles: 1/50, Epsilon: 0.9276
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 16, Global Episode: 4136, Event: hole, Total Score: -80, Covered White Tiles: 5/50, Epsilon: 0.9229
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 17, Global Episode: 4137, Event: hole, Total Score: -86, Covered White Tiles: 4/50, Epsilon: 0.9183
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 18, Global Episode: 4138, Event: hole, Total Score: -93, Covered White Tiles: 4/50, Epsilon: 0.9137
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 19, Global Episode: 4139, Event: hole, Total Score: -93, Covered White Tiles: 1/50, Epsilon: 0.9092
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 20, Global Episode: 4140, Event: hole, Total Score: -94, Covered White Tiles: 1/50, Epsilon: 0.9046
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 21, Global Episode: 4141, Event: hole, Total Score: -93, Covered White Tiles: 1/50, Epsilon: 0.9001
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 22, Global Episode: 4142, Event: hole, Total Score: -93, Covered White Tiles: 4/50, Epsilon: 0.8956
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 23, Global Episode: 4143, Event: hole, Total Score: -86, Covered White Tiles: 2/50, Epsilon: 0.8911
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 24, Global Episode: 4144, Event: hole, Total Score: -93, Covered White Tiles: 1/50, Epsilon: 0.8867
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 25, Global Episode: 4145, Event: hole, Total Score: -109, Covered White Tiles: 3/50, Epsilon: 0.8822
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 26, Global Episode: 4146, Event: hole, Total Score: -87, Covered White Tiles: 3/50, Epsilon: 0.8778
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 27, Global Episode: 4147, Event: hole, Total Score: -93, Covered White Tiles: 1/50, Epsilon: 0.8734
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 28, Global Episode: 4148, Event: hole, Total Score: -93, Covered White Tiles: 1/50, Epsilon: 0.8691
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 29, Global Episode: 4149, Event: hole, Total Score: -93, Covered White Tiles: 1/50, Epsilon: 0.8647
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 30, Global Episode: 4150, Event: hole, Total Score: -79, Covered White Tiles: 3/50, Epsilon: 0.8604
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 31, Global Episode: 4151, Event: hole, Total Score: -79, Covered White Tiles: 3/50, Epsilon: 0.8561
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 32, Global Episode: 4152, Event: hole, Total Score: -86, Covered White Tiles: 2/50, Epsilon: 0.8518
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 33, Global Episode: 4153, Event: hole, Total Score: -94, Covered White Tiles: 3/50, Epsilon: 0.8475
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 34, Global Episode: 4154, Event: hole, Total Score: -79, Covered White Tiles: 3/50, Epsilon: 0.8433
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 35, Global Episode: 4155, Event: hole, Total Score: -86, Covered White Tiles: 2/50, Epsilon: 0.8391
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 36, Global Episode: 4156, Event: hole, Total Score: -94, Covered White Tiles: 3/50, Epsilon: 0.8349
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 37, Global Episode: 4157, Event: hole, Total Score: -86, Covered White Tiles: 7/50, Epsilon: 0.8307
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 38, Global Episode: 4158, Event: hole, Total Score: -94, Covered White Tiles: 1/50, Epsilon: 0.8266
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 39, Global Episode: 4159, Event: hole, Total Score: -86, Covered White Tiles: 2/50, Epsilon: 0.8224
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 40, Global Episode: 4160, Event: hole, Total Score: -100, Covered White Tiles: 0/50, Epsilon: 0.8183
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 41, Global Episode: 4161, Event: hole, Total Score: -100, Covered White Tiles: 0/50, Epsilon: 0.8142
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 42, Global Episode: 4162, Event: hole, Total Score: -79, Covered White Tiles: 3/50, Epsilon: 0.8102
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 43, Global Episode: 4163, Event: hole, Total Score: -93, Covered White Tiles: 1/50, Epsilon: 0.8061
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 44, Global Episode: 4164, Event: hole, Total Score: -93, Covered White Tiles: 1/50, Epsilon: 0.8021
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 45, Global Episode: 4165, Event: hole, Total Score: -108, Covered White Tiles: 4/50, Epsilon: 0.7981
Round: 2, Phase: 1/2, Algorithm: sarsa, Episode: 46, Global Episode: 4166, Event: hole, Total Score: -93, Covered White Tiles: 1/50, Epsilon: 0.7941
