Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 1, Global Episode: 3044, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: 0, Epsilon: 0.9950
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 2, Global Episode: 3045, Event: hole, Total Score: -30, Turns: 0, Turn Penalty: 0, Epsilon: 0.9900
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 3, Global Episode: 3046, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: -3, Epsilon: 0.9851
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 4, Global Episode: 3047, Event: hole, Total Score: -34, Turns: 0, Turn Penalty: -3, Epsilon: 0.9801
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 5, Global Episode: 3048, Event: hole, Total Score: -37, Turns: 0, Turn Penalty: -3, Epsilon: 0.9752
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 6, Global Episode: 3049, Event: hole, Total Score: -40, Turns: 0, Turn Penalty: 0, Epsilon: 0.9704
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 7, Global Episode: 3050, Event: hole, Total Score: -30, Turns: 0, Turn Penalty: -3, Epsilon: 0.9655
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 8, Global Episode: 3051, Event: hole, Total Score: -34, Turns: 0, Turn Penalty: 0, Epsilon: 0.9607
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 9, Global Episode: 3052, Event: hole, Total Score: -36, Turns: 0, Turn Penalty: 0, Epsilon: 0.9559
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 10, Global Episode: 3053, Event: hole, Total Score: -42, Turns: 0, Turn Penalty: -3, Epsilon: 0.9511
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 11, Global Episode: 3054, Event: hole, Total Score: -78, Turns: 0, Turn Penalty: -3, Epsilon: 0.9464
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 12, Global Episode: 3055, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: 0, Epsilon: 0.9416
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 13, Global Episode: 3056, Event: hole, Total Score: -36, Turns: 0, Turn Penalty: 0, Epsilon: 0.9369
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 14, Global Episode: 3057, Event: hole, Total Score: -30, Turns: 0, Turn Penalty: 0, Epsilon: 0.9322
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 15, Global Episode: 3058, Event: hole, Total Score: -37, Turns: 0, Turn Penalty: -3, Epsilon: 0.9276
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 16, Global Episode: 3059, Event: hole, Total Score: -33, Turns: 0, Turn Penalty: -3, Epsilon: 0.9229
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 17, Global Episode: 3060, Event: hole, Total Score: -34, Turns: 0, Turn Penalty: 0, Epsilon: 0.9183
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 18, Global Episode: 3061, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: -3, Epsilon: 0.9137
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 19, Global Episode: 3062, Event: hole, Total Score: -49, Turns: 0, Turn Penalty: -3, Epsilon: 0.9092
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 20, Global Episode: 3063, Event: hole, Total Score: -36, Turns: 0, Turn Penalty: 0, Epsilon: 0.9046
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 21, Global Episode: 3064, Event: hole, Total Score: -46, Turns: 0, Turn Penalty: 0, Epsilon: 0.9001
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 22, Global Episode: 3065, Event: hole, Total Score: -40, Turns: 0, Turn Penalty: -3, Epsilon: 0.8956
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 23, Global Episode: 3066, Event: hole, Total Score: -31, Turns: 0, Turn Penalty: -3, Epsilon: 0.8911
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 24, Global Episode: 3067, Event: hole, Total Score: -36, Turns: 0, Turn Penalty: 0, Epsilon: 0.8867
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 25, Global Episode: 3068, Event: hole, Total Score: -57, Turns: 0, Turn Penalty: -3, Epsilon: 0.8822
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 26, Global Episode: 3069, Event: hole, Total Score: -36, Turns: 0, Turn Penalty: -3, Epsilon: 0.8778
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 27, Global Episode: 3070, Event: hole, Total Score: -37, Turns: 0, Turn Penalty: 0, Epsilon: 0.8734
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 28, Global Episode: 3071, Event: hole, Total Score: -36, Turns: 0, Turn Penalty: -3, Epsilon: 0.8691
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 29, Global Episode: 3072, Event: hole, Total Score: -30, Turns: 0, Turn Penalty: -3, Epsilon: 0.8647
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 30, Global Episode: 3073, Event: hole, Total Score: -34, Turns: 0, Turn Penalty: -3, Epsilon: 0.8604
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 31, Global Episode: 3074, Event: hole, Total Score: -36, Turns: 0, Turn Penalty: 0, Epsilon: 0.8561
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 32, Global Episode: 3075, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: -3, Epsilon: 0.8518
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 33, Global Episode: 3076, Event: hole, Total Score: -37, Turns: 0, Turn Penalty: -3, Epsilon: 0.8475
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 34, Global Episode: 3077, Event: hole, Total Score: -62, Turns: 0, Turn Penalty: -3, Epsilon: 0.8433
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 35, Global Episode: 3078, Event: hole, Total Score: -40, Turns: 0, Turn Penalty: -3, Epsilon: 0.8391
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 36, Global Episode: 3079, Event: hole, Total Score: -34, Turns: 0, Turn Penalty: 0, Epsilon: 0.8349
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 37, Global Episode: 3080, Event: hole, Total Score: -30, Turns: 0, Turn Penalty: -3, Epsilon: 0.8307
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 38, Global Episode: 3081, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: -3, Epsilon: 0.8266
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 39, Global Episode: 3082, Event: hole, Total Score: -36, Turns: 0, Turn Penalty: 0, Epsilon: 0.8224
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 40, Global Episode: 3083, Event: hole, Total Score: -35, Turns: 0, Turn Penalty: 0, Epsilon: 0.8183
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 41, Global Episode: 3084, Event: hole, Total Score: -54, Turns: 0, Turn Penalty: 0, Epsilon: 0.8142
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 42, Global Episode: 3085, Event: hole, Total Score: -49, Turns: 0, Turn Penalty: -3, Epsilon: 0.8102
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 43, Global Episode: 3086, Event: hole, Total Score: -40, Turns: 0, Turn Penalty: 0, Epsilon: 0.8061
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 44, Global Episode: 3087, Event: hole, Total Score: -39, Turns: 0, Turn Penalty: -3, Epsilon: 0.8021
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 45, Global Episode: 3088, Event: hole, Total Score: -78, Turns: 0, Turn Penalty: 0, Epsilon: 0.7981
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 46, Global Episode: 3089, Event: hole, Total Score: -40, Turns: 0, Turn Penalty: -3, Epsilon: 0.7941
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 47, Global Episode: 3090, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: -3, Epsilon: 0.7901
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 48, Global Episode: 3091, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: -3, Epsilon: 0.7862
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 49, Global Episode: 3092, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: -3, Epsilon: 0.7822
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 50, Global Episode: 3093, Event: hole, Total Score: -29, Turns: 0, Turn Penalty: -3, Epsilon: 0.7783
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 51, Global Episode: 3094, Event: hole, Total Score: -31, Turns: 0, Turn Penalty: -3, Epsilon: 0.7744
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 52, Global Episode: 3095, Event: hole, Total Score: -37, Turns: 0, Turn Penalty: -3, Epsilon: 0.7705
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 53, Global Episode: 3096, Event: hole, Total Score: -42, Turns: 0, Turn Penalty: 0, Epsilon: 0.7667
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 54, Global Episode: 3097, Event: hole, Total Score: -33, Turns: 0, Turn Penalty: -3, Epsilon: 0.7629
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 55, Global Episode: 3098, Event: hole, Total Score: -36, Turns: 0, Turn Penalty: -3, Epsilon: 0.7590
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 56, Global Episode: 3099, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: -3, Epsilon: 0.7553
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 57, Global Episode: 3100, Event: hole, Total Score: -35, Turns: 0, Turn Penalty: -3, Epsilon: 0.7515
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 58, Global Episode: 3101, Event: hole, Total Score: -34, Turns: 0, Turn Penalty: -3, Epsilon: 0.7477
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 59, Global Episode: 3102, Event: hole, Total Score: -42, Turns: 0, Turn Penalty: 0, Epsilon: 0.7440
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 60, Global Episode: 3103, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: 0, Epsilon: 0.7403
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 61, Global Episode: 3104, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: -3, Epsilon: 0.7366
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 62, Global Episode: 3105, Event: hole, Total Score: -36, Turns: 0, Turn Penalty: -3, Epsilon: 0.7329
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 63, Global Episode: 3106, Event: hole, Total Score: -44, Turns: 0, Turn Penalty: -3, Epsilon: 0.7292
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 64, Global Episode: 3107, Event: hole, Total Score: -33, Turns: 0, Turn Penalty: -3, Epsilon: 0.7256
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 65, Global Episode: 3108, Event: hole, Total Score: -37, Turns: 0, Turn Penalty: -3, Epsilon: 0.7219
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 66, Global Episode: 3109, Event: hole, Total Score: -46, Turns: 0, Turn Penalty: -3, Epsilon: 0.7183
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 67, Global Episode: 3110, Event: hole, Total Score: -41, Turns: 0, Turn Penalty: -3, Epsilon: 0.7147
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 68, Global Episode: 3111, Event: hole, Total Score: -36, Turns: 0, Turn Penalty: 0, Epsilon: 0.7112
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 69, Global Episode: 3112, Event: hole, Total Score: -37, Turns: 0, Turn Penalty: -3, Epsilon: 0.7076
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 70, Global Episode: 3113, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: -3, Epsilon: 0.7041
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 71, Global Episode: 3114, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: -3, Epsilon: 0.7005
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 72, Global Episode: 3115, Event: hole, Total Score: -45, Turns: 0, Turn Penalty: -3, Epsilon: 0.6970
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 73, Global Episode: 3116, Event: hole, Total Score: -49, Turns: 0, Turn Penalty: -3, Epsilon: 0.6936
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 74, Global Episode: 3117, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: -3, Epsilon: 0.6901
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 75, Global Episode: 3118, Event: hole, Total Score: -34, Turns: 0, Turn Penalty: 0, Epsilon: 0.6866
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 76, Global Episode: 3119, Event: hole, Total Score: -44, Turns: 0, Turn Penalty: 0, Epsilon: 0.6832
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 77, Global Episode: 3120, Event: hole, Total Score: -37, Turns: 0, Turn Penalty: -3, Epsilon: 0.6798
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 78, Global Episode: 3121, Event: hole, Total Score: -35, Turns: 0, Turn Penalty: -3, Epsilon: 0.6764
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 79, Global Episode: 3122, Event: hole, Total Score: -31, Turns: 0, Turn Penalty: -3, Epsilon: 0.6730
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 80, Global Episode: 3123, Event: hole, Total Score: -30, Turns: 0, Turn Penalty: 0, Epsilon: 0.6696
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 81, Global Episode: 3124, Event: hole, Total Score: -36, Turns: 0, Turn Penalty: 0, Epsilon: 0.6663
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 82, Global Episode: 3125, Event: hole, Total Score: -45, Turns: 0, Turn Penalty: -3, Epsilon: 0.6630
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 83, Global Episode: 3126, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: 0, Epsilon: 0.6597
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 84, Global Episode: 3127, Event: hole, Total Score: -52, Turns: 0, Turn Penalty: 0, Epsilon: 0.6564
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 85, Global Episode: 3128, Event: hole, Total Score: -45, Turns: 0, Turn Penalty: -3, Epsilon: 0.6531
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 86, Global Episode: 3129, Event: hole, Total Score: -70, Turns: 0, Turn Penalty: 0, Epsilon: 0.6498
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 87, Global Episode: 3130, Event: hole, Total Score: -38, Turns: 0, Turn Penalty: -3, Epsilon: 0.6466
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 88, Global Episode: 3131, Event: hole, Total Score: -29, Turns: 0, Turn Penalty: -3, Epsilon: 0.6433
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 89, Global Episode: 3132, Event: hole, Total Score: -34, Turns: 0, Turn Penalty: 0, Epsilon: 0.6401
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 90, Global Episode: 3133, Event: hole, Total Score: -34, Turns: 0, Turn Penalty: -3, Epsilon: 0.6369
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 91, Global Episode: 3134, Event: hole, Total Score: -41, Turns: 0, Turn Penalty: -3, Epsilon: 0.6337
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 92, Global Episode: 3135, Event: hole, Total Score: -31, Turns: 0, Turn Penalty: -3, Epsilon: 0.6306
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 93, Global Episode: 3136, Event: hole, Total Score: -39, Turns: 0, Turn Penalty: 0, Epsilon: 0.6274
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 94, Global Episode: 3137, Event: hole, Total Score: -29, Turns: 0, Turn Penalty: -3, Epsilon: 0.6243
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 95, Global Episode: 3138, Event: hole, Total Score: -30, Turns: 0, Turn Penalty: -3, Epsilon: 0.6211
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 96, Global Episode: 3139, Event: hole, Total Score: -36, Turns: 0, Turn Penalty: -3, Epsilon: 0.6180
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 97, Global Episode: 3140, Event: hole, Total Score: -46, Turns: 0, Turn Penalty: -3, Epsilon: 0.6149
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 98, Global Episode: 3141, Event: hole, Total Score: -45, Turns: 0, Turn Penalty: 0, Epsilon: 0.6119
Round: 3, Phase: 2/2, Algorithm: q_learning, Episode: 99, Global Episode: 3142, Event: hole, Total Score: -48, Turns: 0, Turn Penalty: -3, Epsilon: 0.6088
