Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 1, Global Episode: 2433, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: -3, Epsilon: 0.9950
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 2, Global Episode: 2434, Event: hole, Total Score: -36, Turns: 0, Turn Penalty: 0, Epsilon: 0.9900
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 3, Global Episode: 2435, Event: hole, Total Score: -31, Turns: 0, Turn Penalty: -3, Epsilon: 0.9851
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 4, Global Episode: 2436, Event: hole, Total Score: -38, Turns: 0, Turn Penalty: -3, Epsilon: 0.9801
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 5, Global Episode: 2437, Event: hole, Total Score: -46, Turns: 0, Turn Penalty: -3, Epsilon: 0.9752
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 6, Global Episode: 2438, Event: hole, Total Score: -52, Turns: 0, Turn Penalty: 0, Epsilon: 0.9704
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 7, Global Episode: 2439, Event: hole, Total Score: -36, Turns: 0, Turn Penalty: 0, Epsilon: 0.9655
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 8, Global Episode: 2440, Event: hole, Total Score: -40, Turns: 0, Turn Penalty: 0, Epsilon: 0.9607
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 9, Global Episode: 2441, Event: hole, Total Score: -39, Turns: 0, Turn Penalty: -3, Epsilon: 0.9559
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 10, Global Episode: 2442, Event: hole, Total Score: -33, Turns: 0, Turn Penalty: 0, Epsilon: 0.9511
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 11, Global Episode: 2443, Event: hole, Total Score: -46, Turns: 0, Turn Penalty: 0, Epsilon: 0.9464
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 12, Global Episode: 2444, Event: hole, Total Score: -37, Turns: 0, Turn Penalty: 0, Epsilon: 0.9416
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 13, Global Episode: 2445, Event: hole, Total Score: -35, Turns: 0, Turn Penalty: 0, Epsilon: 0.9369
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 14, Global Episode: 2446, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: 0, Epsilon: 0.9322
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 15, Global Episode: 2447, Event: hole, Total Score: -38, Turns: 0, Turn Penalty: -3, Epsilon: 0.9276
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 16, Global Episode: 2448, Event: hole, Total Score: -35, Turns: 0, Turn Penalty: -3, Epsilon: 0.9229
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 17, Global Episode: 2449, Event: hole, Total Score: -40, Turns: 0, Turn Penalty: -3, Epsilon: 0.9183
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 18, Global Episode: 2450, Event: hole, Total Score: -30, Turns: 0, Turn Penalty: 0, Epsilon: 0.9137
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 19, Global Episode: 2451, Event: hole, Total Score: -44, Turns: 0, Turn Penalty: -3, Epsilon: 0.9092
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 20, Global Episode: 2452, Event: hole, Total Score: -28, Turns: 0, Turn Penalty: -3, Epsilon: 0.9046
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 21, Global Episode: 2453, Event: hole, Total Score: -36, Turns: 0, Turn Penalty: 0, Epsilon: 0.9001
Round: 3, Phase: 1/2, Algorithm: sarsa, Episode: 22, Global Episode: 2454, Event: goal, Total Score: 12, Turns: 0, Turn Penalty: 0, Epsilon: 0.8956 [GOAL]
