Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 1, Global Episode: 5477, Event: hole, Total Score: -39, Turns: 0, Turn Penalty: -3, Epsilon: 0.9950
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 2, Global Episode: 5478, Event: hole, Total Score: -34, Turns: 0, Turn Penalty: -3, Epsilon: 0.9900
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 3, Global Episode: 5479, Event: hole, Total Score: -54, Turns: 0, Turn Penalty: -3, Epsilon: 0.9851
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 4, Global Episode: 5480, Event: hole, Total Score: -37, Turns: 0, Turn Penalty: -3, Epsilon: 0.9801
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 5, Global Episode: 5481, Event: hole, Total Score: -27, Turns: 0, Turn Penalty: 0, Epsilon: 0.9752
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 6, Global Episode: 5482, Event: hole, Total Score: -37, Turns: 0, Turn Penalty: -3, Epsilon: 0.9704
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 7, Global Episode: 5483, Event: hole, Total Score: -43, Turns: 0, Turn Penalty: -3, Epsilon: 0.9655
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 8, Global Episode: 5484, Event: hole, Total Score: -53, Turns: 0, Turn Penalty: -3, Epsilon: 0.9607
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 9, Global Episode: 5485, Event: hole, Total Score: -27, Turns: 0, Turn Penalty: 0, Epsilon: 0.9559
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 10, Global Episode: 5486, Event: hole, Total Score: -37, Turns: 0, Turn Penalty: 0, Epsilon: 0.9511
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 11, Global Episode: 5487, Event: hole, Total Score: -30, Turns: 0, Turn Penalty: 0, Epsilon: 0.9464
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 12, Global Episode: 5488, Event: hole, Total Score: -37, Turns: 0, Turn Penalty: 0, Epsilon: 0.9416
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 13, Global Episode: 5489, Event: hole, Total Score: -27, Turns: 0, Turn Penalty: 0, Epsilon: 0.9369
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 14, Global Episode: 5490, Event: hole, Total Score: -27, Turns: 0, Turn Penalty: 0, Epsilon: 0.9322
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 15, Global Episode: 5491, Event: hole, Total Score: -50, Turns: 0, Turn Penalty: -3, Epsilon: 0.9276
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 16, Global Episode: 5492, Event: hole, Total Score: -56, Turns: 0, Turn Penalty: 0, Epsilon: 0.9229
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 17, Global Episode: 5493, Event: hole, Total Score: -53, Turns: 0, Turn Penalty: 0, Epsilon: 0.9183
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 18, Global Episode: 5494, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: -3, Epsilon: 0.9137
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 19, Global Episode: 5495, Event: hole, Total Score: -67, Turns: 0, Turn Penalty: 0, Epsilon: 0.9092
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 20, Global Episode: 5496, Event: hole, Total Score: -32, Turns: 0, Turn Penalty: -3, Epsilon: 0.9046
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 21, Global Episode: 5497, Event: hole, Total Score: -27, Turns: 0, Turn Penalty: 0, Epsilon: 0.9001
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 22, Global Episode: 5498, Event: hole, Total Score: -34, Turns: 0, Turn Penalty: 0, Epsilon: 0.8956
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 23, Global Episode: 5499, Event: hole, Total Score: -27, Turns: 0, Turn Penalty: 0, Epsilon: 0.8911
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 24, Global Episode: 5500, Event: hole, Total Score: -37, Turns: 0, Turn Penalty: -3, Epsilon: 0.8867
