Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 1, Global Episode: 23167, Event: hole, Total Score: -65, Covered White Tiles: 5/50, Epsilon: 0.9950
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 2, Global Episode: 23168, Event: hole, Total Score: -37, Covered White Tiles: 12/50, Epsilon: 0.9900
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 3, Global Episode: 23169, Event: hole, Total Score: -73, Covered White Tiles: 5/50, Epsilon: 0.9851
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 4, Global Episode: 23170, Event: hole, Total Score: -87, Covered White Tiles: 3/50, Epsilon: 0.9801
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 5, Global Episode: 23171, Event: hole, Total Score: -72, Covered White Tiles: 10/50, Epsilon: 0.9752
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 6, Global Episode: 23172, Event: hole, Total Score: -86, Covered White Tiles: 5/50, Epsilon: 0.9704
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 7, Global Episode: 23173, Event: hole, Total Score: -79, Covered White Tiles: 10/50, Epsilon: 0.9655
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 8, Global Episode: 23174, Event: hole, Total Score: -72, Covered White Tiles: 6/50, Epsilon: 0.9607
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 9, Global Episode: 23175, Event: hole, Total Score: -59, Covered White Tiles: 7/50, Epsilon: 0.9559
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 10, Global Episode: 23176, Event: hole, Total Score: -72, Covered White Tiles: 4/50, Epsilon: 0.9511
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 11, Global Episode: 23177, Event: hole, Total Score: -88, Covered White Tiles: 15/50, Epsilon: 0.9464
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 12, Global Episode: 23178, Event: hole, Total Score: -67, Covered White Tiles: 13/50, Epsilon: 0.9416
Round: 5, Phase: 2/2, Algorithm: q_learning, Episode: 13, Global Episode: 23179, Event: hole, Total Score: -74, Covered White Tiles: 13/50, Epsilon: 0.9369
